2024-05-28 21:20:54,887| unknown| unknown| 127.0.0.1| unknown| GET| /internal/isw/initialSetupInfo| 200 
2024-05-28 21:20:54,934| unknown| unknown| 127.0.0.1| unknown| GET| /license/agreement| 200 
2024-05-28 21:56:00,435| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/isw/initialSetupInfo| 200 
2024-05-28 21:56:00,466| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license/agreement| 200 
2024-05-28 21:56:07,200| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| PUT| /license/agreement| 200 
2024-05-28 21:56:07,247| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/isw/defaultBaseUrl| 200 
2024-05-28 21:56:11,902| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 21:56:11,902| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 21:56:11,902| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 21:57:06,502| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /internal/isw/validateLicense| 422 
2024-05-28 21:58:31,342| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 21:58:36,067| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /internal/isw/validateLicense| 422 
2024-05-28 21:58:54,483| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /internal/isw/validateLicense| 422 
2024-05-28 21:59:54,066| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /internal/isw/validateLicense| 422 
2024-05-28 22:00:03,455| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 22:00:07,746| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 22:00:07,764| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 22:00:07,777| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 22:00:14,293| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /internal/isw/validateLicense| 422 
2024-05-28 22:01:08,155| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /license| 404 
2024-05-28 22:01:14,998| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /internal/isw/validateLicense| 200 
2024-05-28 22:01:19,963| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/isw/adminPasswordRules| 200 
2024-05-28 22:05:51,005| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/isw/adminPasswordRules| 200 
2024-05-28 23:07:05,545| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| PUT| /license| 200 
2024-05-28 23:07:05,624| unknown| unknown| [0:0:0:0:0:0:0:1]| unknown| POST| /administrativeAccounts| 200 
2024-05-28 23:07:05,718| Administrator| Basic| [0:0:0:0:0:0:0:1]| unknown| GET| /serverSettings| 200 
2024-05-28 23:07:06,048| Administrator| Basic| [0:0:0:0:0:0:0:1]| unknown| PUT| /serverSettings| 200 
2024-05-28 23:07:07,068| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2024-05-28 23:07:07,068| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-05-28 23:07:07,068| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2024-05-28 23:07:07,068| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-05-28 23:07:07,083| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2024-05-28 23:07:07,083| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-05-28 23:07:07,162| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/nodes| 200 
2024-05-28 23:07:07,177| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/shortcuts| 200 
2024-05-28 23:07:07,177| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/preferences/shortcuts| 200 
